preco;endereco;metragem;quartos;vagas;banheiros;"
condomínio";"
IPTU";data
"
R$390.000
";Rua Casa Forte, Água Fria;"
66m²";"
2";"
1";"
2";750;;2021-07-20
"
R$48.000
";Rua Gil Fernandes, Bosque da Saúde;"
95m²";"
3";"
1";"
2";;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$1.629.250
";Rua Maria Monteiro, Cambuí;"
145m²";"
2-3";;"
2-4";;;2021-07-20
"
R$1.500.000
";Rua Doutor Antônio Sousa Campos, Cambuí;"
129m²";"
3";"
2-3";"
3";;;2021-07-20
"
Sobconsulta
";Rua Francisco Antônio Pinto, Parque Industrial;"
33m²";"
1";"
1";"
1";;;2021-07-20
"
R$1.400.000
";Rua Desembargador do Vale, Perdizes;"
105m²";"
3";"
2";"
2";1.100;531;2021-07-20
"
R$850.000
";Rua Munhoz da Rocha Neto, São Judas;"
105m²";"
3";"
3";"
2";;312;2021-07-20
"
R$8.500.000
";Rua Inajaroba, Vila Nova Conceição;"
330m²";"
4";"
5";"
6";6.500;1.980;2021-07-20
"
R$570.000
";Rua Oliveira Alves, Ipiranga;"
67m²";"
3";"
1";"
2";600;700;2021-07-20
"
R$470.000
";Rua José Carlos de Resende, Conjunto Residencial Vista Verde;"
120m²";"
3";"
2";"
1";;;2021-07-20
"
R$630.000
";Rua Rudi Schaly, Vila Fiat Lux;"
137m²";"
3";"
2";"
3";;;2021-07-20
"
R$1.240.000
";Rua França Pinto, Vila Romana;"
155m²";"
3";"
2";"
1";1.350;2.916;2021-07-20
"
R$425.000
";Rua Eugênio de Freitas, Vila Guilherme;"
64m²";"
3";"
2";"
2";370;;2021-07-20
"
R$600.000
";Rua Domingos Rodrigues, Lapa;"
54m²";"
2";"
1";"
2";800;300;2021-07-20
"
R$530.000
";Bosque da Saúde, São Paulo;"
67m²";"
2";"
2";"
2";466;;2021-07-20
"
R$590.000
";Praça da Árvore, São Paulo;"
65m²";"
2";"
1";"
2";500;135;2021-07-20
"
R$505.000
";Rua Anhangüera, Barra Funda;"
62m²";"
3";"
1";"
2";625;110;2021-07-20
"
R$340.000
";Parque Mandaqui, São Paulo;"
65m²";"
3";"
1";"
2";684;106;2021-07-20
"
R$420.000
";Rua José Carlos de Resende, Conjunto Residencial Vista Verde;"
115m²";"
3";"
1";"
3";;;2021-07-20
"
R$550.000
";Rua José Carlos de Resende, Conjunto Residencial Vista Verde;"
127m²";"
3";"
2";"
2";;;2021-07-20
"
R$520.000
";Chora Menino, São Paulo;"
120m²";"
3";"
2";"
3";200;;2021-07-20
"
R$404.000
";Rua Eduardo Leopoldo, Vila Guilherme;"
65m²";"
2";"
1";"
2";430;;2021-07-20
"
R$510.000
";Saúde, São Paulo;"
73m²";"
3";"
2";"
2";620;120;2021-07-20
"
R$319.148
";Rua São João, Jardim Elizabeth;"
100m²";"
5";"
2";"
4";;;2021-07-20
"
R$500.000
";Rua Manuel Antônio Carvalho, Vila Clarice;"
112m²";"
3";"
2";"
3";;33;2021-07-20
"
R$410.000
";Rua André Vidal, Tatuapé;"
56m²";"
2";"
1";"
2";460;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$3.320.000
";Rua Francisco Antônio Pinto, Parque Industrial;"
638m²";;;;;;2021-07-20
"
R$265.900
";Rua Santa Rita do Passa Quatro, Jardim Nova Europa;"
45-54m²";"
1-2";"
1";"
1-2";;;2021-07-20
"
Sobconsulta
";Rua Maria Monteiro, Cambuí;"
190-397m²";"
3-4";"
3-6";"
3-5";;;2021-07-20
